lat	lon	title	description	icon	iconSize	iconOffset
45.39922	-75.6595	GC1ZAT4	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG14 - The Pond</a><br/>Difficulty: 1.5/5  Terrain: 3.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.39928	-75.63834	GCV5PZ	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>PGW - Hillcrest</a><br/>Difficulty: 2.5/5  Terrain: 2.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.39212	-75.67582	GC202ZW	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Taoisigh</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.38947	-75.67889	GCYJ0W	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG9 - Oh Shoot #3</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.3743	-75.68467	GCYP1M	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>CORP 1 - Retrieval Wary</a><br/>Difficulty: 1.5/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.40103	-75.65009	GC1N3QM	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Omax - Ontario East Children's Hospital</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.38683	-75.68127	GC21MNB	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Wild Duck</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.3586	-75.6751	GC1MTJ0	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Sadie's Hollow</a><br/>Difficulty: 3.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35107	-75.65482	GC15FK8	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Gore of Hunt Club and Airport Parkway</a><br/>Difficulty: 1.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38408	-75.61477	GCQWJH	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>LOST - Heywire</a><br/>Difficulty: 1.5/5  Terrain: 2.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
